"","n","date","vcrix"
"247","247",2015-08-01,688.898861584645
"248","248",2015-08-02,689.708282966443
"249","249",2015-08-03,689.474369092981
"250","250",2015-08-04,685.167129707208
"251","251",2015-08-05,665.778687874908
"252","252",2015-08-06,668.00652476444
"253","253",2015-08-07,670.947473031641
"254","254",2015-08-08,666.275739357503
"255","255",2015-08-09,762.812362264886
"256","256",2015-08-10,704.43539632889
"257","257",2015-08-11,694.002853894488
"258","258",2015-08-12,617.446288036047
"259","259",2015-08-13,520.170499428445
"260","260",2015-08-14,527.33498569275
"261","261",2015-08-15,530.178408021167
"262","262",2015-08-16,507.343618600386
"263","263",2015-08-17,511.512799291526
"264","264",2015-08-18,510.753437858142
"265","265",2015-08-19,518.954932774009
"266","266",2015-08-20,841.13780835006
"267","267",2015-08-21,859.597014603803
"268","268",2015-08-22,836.514241035822
"269","269",2015-08-23,824.983122858818
"270","270",2015-08-24,760.723665112801
"271","271",2015-08-25,839.699137375049
"272","272",2015-08-26,881.137367722018
"273","273",2015-08-27,892.494118167503
"274","274",2015-08-28,888.13958726793
"275","275",2015-08-29,920.964444143583
"276","276",2015-08-30,918.937561413761
"277","277",2015-08-31,916.075729404375
"278","278",2015-09-01,916.075729404375
"279","279",2015-09-02,915.622449293609
"280","280",2015-09-03,917.794414301142
"281","281",2015-09-04,915.272551441341
"282","282",2015-09-05,924.091557162258
"283","283",2015-09-06,941.082471507902
"284","284",2015-09-07,948.27516408121
"285","285",2015-09-08,886.162851310032
"286","286",2015-09-09,884.839438345921
"287","287",2015-09-10,892.631345423221
"288","288",2015-09-11,885.992608356662
"289","289",2015-09-12,897.674344474838
"290","290",2015-09-13,903.152124998362
"291","291",2015-09-14,904.922297925873
"292","292",2015-09-15,900.947526643171
"293","293",2015-09-16,900.621389160083
"294","294",2015-09-17,901.85824380806
"295","295",2015-09-18,907.413654968676
"296","296",2015-09-19,641.230981292986
"297","297",2015-09-20,612.323951761797
"298","298",2015-09-21,617.660088309752
"299","299",2015-09-22,628.298410829084
"300","300",2015-09-23,635.469064024327
"301","301",2015-09-24,461.593938131972
"302","302",2015-09-25,401.168091268005
"303","303",2015-09-26,393.518758287084
"304","304",2015-09-27,395.983301337788
"305","305",2015-09-28,354.215723336705
"306","306",2015-09-29,377.630307562947
"307","307",2015-09-30,391.956598290609
"308","308",2015-10-01,391.956598290609
"309","309",2015-10-02,391.254926694578
"310","310",2015-10-03,396.055653995025
"311","311",2015-10-04,396.568433593029
"312","312",2015-10-05,397.17595649031
"313","313",2015-10-06,378.250229145768
"314","314",2015-10-07,400.450719220971
"315","315",2015-10-08,404.654698198537
"316","316",2015-10-09,403.448925382699
"317","317",2015-10-10,385.580062570792
